ScenarioCode,StaffMemberCode,LastName,FirstName,PensionOptOut,ServiceStartDate,DateOfBirth,Apprenticeship,AvailableToAllSchools,SchoolCodes,StaffMemberEnabled,PayrollLocation,GenderCode,Casual
,10090559,Edwards,Naomi,False,2018-09-01,,False,False,EDU,True,,ZZZ,False
,10131723,Carroll,Connie,False,2023-09-01,,False,False,MAT,True,,ZZZ,False
,10342391,Williams,Byron,False,2018-09-01,,False,False,MID,True,,ZZZ,False
,10370507,Murray,Owen,False,2018-09-01,,False,False,LOR,True,,ZZZ,False
,10424197,Stewart,Alberta,False,2018-09-01,,False,False,GRE,True,,ZZZ,False
,10594048,Wells,Florrie,False,2018-09-01,,False,False,GRE,True,,ZZZ,False
,10647874,Ferguson,Ryan,False,2018-09-01,,False,False,GRE,True,,ZZZ,False
,10655523,Warren,Kevin,False,2018-09-01,,False,False,LOR,True,,ZZZ,False
,10785174,Ferguson,Michael,False,2023-09-01,,False,False,MAT,True,,ZZZ,False
,11168197,Harrison,Julia,False,2018-09-01,,False,False,LOR,True,,ZZZ,False
,11202266,Ross,Ted,False,2023-09-01,,False,False,EDU,True,,ZZZ,False
,11272042,Bailey,Jessica,False,2023-09-01,,False,False,APP,True,,ZZZ,False
,11299714,Lloyd,Wilson,False,2018-09-01,,False,False,MAR,True,,ZZZ,False
,11322081,Smith,Sam,False,2023-09-01,,False,False,MID,True,,ZZZ,False
,11404549,Tucker,Olivia,False,2018-09-01,,False,False,"LOR,GRE",True,,ZZZ,False
,11436870,Rogers,Elise,False,2018-09-01,,False,False,MIL,True,,ZZZ,False
,11438991,Campbell,Rebecca,False,2018-09-01,,False,False,GRE,True,,ZZZ,False
,11548314,Hawkins,James,False,2023-09-01,,False,False,ALE,True,,ZZZ,False
,11576812,Montgomery,Lilianna,False,2018-09-01,,False,False,GRE,True,,ZZZ,False
,11736047,Spencer,Sam,False,2023-09-01,,False,False,APP,True,,ZZZ,False
,11806569,Morris,Natalie,False,2023-09-01,,False,False,MAT,True,,ZZZ,False
,11865635,Fowler,Elian,False,2023-09-01,,False,False,MID,True,,ZZZ,True
,11929425,Holmes,Lucia,False,2018-09-01,,False,False,"MIL,APP",True,,ZZZ,False
,12014353,Crawford,Kate,False,2023-09-01,,False,False,MID,True,,ZZZ,False
,12018403,Evans,Patrick,False,2023-09-01,,False,False,MID,True,,ZZZ,False
,12047705,Thompson,Victor,False,2018-09-01,,False,False,"LEA,MID",True,LEA,ZZZ,False
,12050729,Johnson,Lyndon,False,2018-09-01,,False,False,GRE,True,,ZZZ,False
,12204918,Gray,Alexander,False,2018-09-01,,False,False,LOR,True,,ZZZ,False
,12237904,Anderson,Edward,False,2018-09-01,,False,False,MAR,True,,ZZZ,False
,1234,Austen,Jane,False,2025-09-01,,False,False,GRE,True,GRE,M,False
,12342728,Warren,Victoria,False,2023-09-01,,False,False,ALE,True,,ZZZ,False
,12380254,Scott,Tiana,False,2018-09-01,,False,False,GRE,True,,ZZZ,False
,12387327,Taylor,Charlie,False,2018-09-01,,False,False,MIL,True,,ZZZ,False
,12398040,Stevens,Kellan,False,2018-09-01,,False,False,LEA,True,,ZZZ,False
,12456197,Alexander,Martin,False,2023-09-01,,False,False,ALE,True,,ZZZ,False
,12528253,Ross,Lyndon,False,2018-09-01,,False,False,"LOR,GRE",True,,ZZZ,False
,12702987,Johnston,Cherry,False,2023-09-01,,False,False,EDU,True,,ZZZ,False
,12752594,Crawford,Aston,False,2023-09-01,,False,False,MAT,True,,ZZZ,True
,12842524,Brooks,Byron,False,2018-09-01,,False,False,ALE,True,,ZZZ,False
,12875475,Wright,Tiana,False,2023-09-01,,False,False,MID,True,,ZZZ,False
,12974869,Lloyd,Frederick,False,2018-09-01,,False,False,GRE,True,,ZZZ,False
,12992733,Mason,Amy,False,2023-09-01,,False,False,MIL,True,,ZZZ,False
,13155291,Wright,Emily,False,2018-09-01,,False,False,GRE,True,,ZZZ,False
,13193356,Carter,Preston,False,2023-09-01,,False,False,ALE,True,,ZZZ,False
,13387461,Morrison,Sydney,False,2018-09-01,,False,False,ALE,True,,ZZZ,False
,13400957,Nelson,Haris,False,2018-09-01,,False,False,GRE,True,,ZZZ,False
,13427495,Morris,Sabrina,False,2018-09-01,,False,False,MAR,True,,ZZZ,False
,13743325,Spencer,Aldus,False,2023-09-01,,False,False,MID,True,,ZZZ,True
,13764708,Payne,Alberta,False,2018-09-01,,False,False,MID,True,,ZZZ,False
,14058586,Elliott,Derek,False,2018-09-01,,False,False,EDU,True,,ZZZ,False
,14226489,Barnes,Chester,False,2018-09-01,,False,False,ALE,True,,ZZZ,False
,14244932,Harper,Ellia,False,2023-09-01,,False,False,MAR,True,,ZZZ,False
,14266863,Kelley,David,False,2023-09-01,,False,False,APP,True,,ZZZ,True
,14302653,Higgins,Lydia,False,2023-09-01,,False,False,MAR,True,,ZZZ,False
