ScenarioCode,Reference,SchoolCode,StaffMemberCode,StaffRoleCode,PayScalePointCode,PayScaleGradeCode,DepartmentCode,PensionCode,EquatedWeekPatternCode,DateFrom,DateTo,WeeklyFteOrHpw,MatEditOnly,Notes,NoIncrement,FundCode,ContractTypeCode
,,ALE,12842524,TEA_32.5_EW,M1,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2024-09-01,2025-08-31,0.4,False,,False,REST,ZZZ
,,ALE,12842524,TEA_32.5_EW,M2,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2025-09-01,,0.4,False,,False,REST,ZZZ
,,ALE,14226489,TEA_32.5_EW,M2,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2024-09-01,2025-08-31,0.8,False,,False,REST,ZZZ
,,ALE,14226489,TEA_32.5_EW,M3,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2025-09-01,,0.8,False,,False,REST,ZZZ
,,ALE,15949454,TEA_32.5_EW,M6,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2024-09-01,2025-08-31,0.5,False,,False,REST,ZZZ
,,ALE,15949454,TEA_32.5_EW,UPS1Y1,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2025-09-01,,0.5,False,,False,REST,ZZZ
,,ALE,17347057,TEA_32.5_EW,M5,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2024-09-01,2025-08-31,0.2,False,,False,REST,ZZZ
,,ALE,17347057,TEA_32.5_EW,M6,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2025-09-01,,0.2,False,,False,REST,ZZZ
,,ALE,18962891,TEA_32.5_EW,M1,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2024-09-01,2025-08-31,0.2,False,,False,REST,ZZZ
,,ALE,18962891,TEA_32.5_EW,M2,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2025-09-01,,0.2,False,,False,REST,ZZZ
,,ALE,21048232,TEA_32.5_EW,M3,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2024-09-01,2025-08-31,0.4,False,,False,REST,ZZZ
,,ALE,21048232,TEA_32.5_EW,M4,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2025-09-01,,0.4,False,,False,REST,ZZZ
,,ALE,40982064,TEA_32.5_EW,M1,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2024-09-01,2025-08-31,1.0,False,,False,REST,ZZZ
,,ALE,40982064,TEA_32.5_EW,M2,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2025-09-01,,1.0,False,,False,REST,ZZZ
,,ALE,42616275,TEA_32.5_EW,M2,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2024-09-01,2025-08-31,0.4,False,,False,REST,ZZZ
,,ALE,42616275,TEA_32.5_EW,M3,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2025-09-01,,0.4,False,,False,REST,ZZZ
,,ALE,45436553,TEA_32.5_EW,UPS2Y2,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2024-09-01,2025-08-31,1.0,False,,False,REST,ZZZ
,,ALE,45436553,TEA_32.5_EW,UPS3,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2025-09-01,,1.0,False,,False,REST,ZZZ
,,ALE,51163368,TEA_32.5_EW,M4,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2024-09-01,2025-08-31,0.5,False,,False,REST,ZZZ
,,ALE,51163368,TEA_32.5_EW,M5,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2025-09-01,,0.5,False,,False,REST,ZZZ
,,ALE,52339461,TEA_32.5_EW,M3,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2024-09-01,2025-08-31,0.4,False,,False,REST,ZZZ
,,ALE,52339461,TEA_32.5_EW,M4,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2025-09-01,,0.4,False,,False,REST,ZZZ
,,ALE,69018523,TEA_32.5_EW,M4,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2024-09-01,2025-08-31,0.4,False,,False,REST,ZZZ
,,ALE,69018523,TEA_32.5_EW,M5,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2025-09-01,,0.4,False,,False,REST,ZZZ
,,ALE,70482886,TEA_32.5_EW,UPS1Y1,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2024-09-01,2025-08-31,0.5,False,,False,REST,ZZZ
,,ALE,70482886,TEA_32.5_EW,UPS1Y2,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2025-09-01,,0.5,False,,False,REST,ZZZ
,,ALE,72298092,TEA_32.5_EW,M6,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2024-09-01,2025-08-31,1.0,False,,False,REST,ZZZ
,,ALE,72298092,TEA_32.5_EW,UPS1Y1,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2025-09-01,,1.0,False,,False,REST,ZZZ
,,ALE,79149549,TEA_32.5_EW,M5,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2024-09-01,2025-08-31,1.0,False,,False,REST,ZZZ
,,ALE,79149549,TEA_32.5_EW,M6,MAIN_UPS_EW,SAL_TEA,TPS,AYR,2025-09-01,,1.0,False,,False,REST,ZZZ
,,ALE,18768301,AHT_32.5_EW,L18,LS_EW_18-31,SAL_LST,TPS,AYR,2024-09-01,2025-08-31,1.0,False,,False,REST,ZZZ
,,ALE,18768301,AHT_32.5_EW,L19,LS_EW_18-31,SAL_LST,TPS,AYR,2025-09-01,,1.0,False,,False,REST,ZZZ
,,ALE,57141704,AHT_32.5_EW,L08,LS_EW_08-21,SAL_LST,TPS,AYR,2024-09-01,2025-08-31,1.0,False,,False,REST,ZZZ
,,ALE,57141704,AHT_32.5_EW,L09,LS_EW_08-21,SAL_LST,TPS,AYR,2025-09-01,,1.0,False,,False,REST,ZZZ
